GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projet,default,Main,21,0,0,0,6,0,3,0,3,0
Projet,Subcommands,Init,21,0,0,0,5,0,2,0,2,0
Projet,Subcommands,New,9,0,0,0,3,0,2,0,2,0
Projet,Subcommands,Build,41,0,4,0,10,0,4,0,2,0
Projet,Subcommands,Clean,24,0,0,0,5,0,2,0,2,0
Projet,tools,FileManager.new WatcherRecursive.SignalChange() {...},46,0,6,0,10,0,5,0,2,0
Projet,tools,MarkdownToHtml,0,17,0,0,0,5,0,2,0,2
Projet,tools,WatcherRecursive,119,0,8,0,20,0,8,0,4,0
Projet,tools,PageCompiler,22,354,7,25,6,71,7,14,0,5
Projet,tools,ConfigInterpret,0,75,0,6,0,24,0,11,0,8
Projet,tools,FileManager,77,316,10,26,25,71,11,19,1,11
